Topology,embed_type,space_group,genus,vertices,edges
kez,4,P6/mcc,19,3,2
kfi,1a,Im-3m,49,1,4
kga,1b,I-4m2,16,3,6
kgn,1b,P432,29,3,5
kgq,1b,I4(1)32,29,3,5
kkm,2,Pbam,11,2,5
kle,1b,Im-3,33,3,4
kms,4,P6(3)/mcm,31,3,4
knaa,1b,P6/mmm,43,4,9
knb,4,P6/mmm,16,3,2
knba,1b,P6/mmm,49,4,9
knc,4,P4(2)/mmc,21,3,2
koh,1b,F-43m,14,3,3
kpc,4,Fm-3m,22,3,2
kto,1b,R3m,10,3,5
kts,1a,R3,13,4,8
kty,4,P4/mmm,9,3,2
ktya,3,P4/mmm,29,4,8
kwo,1b,P2/m,25,7,15
kxe,4,R-3c,17,2,3
law,1b,Im-3,19,2,3
lcs,1a,Ia-3d,13,1,1
lcsa,1b,Ia-3d,49,1,3
lcse,1a,Ia-3d,49,1,2
lcv,1a,I4(1)32,7,1,1
lcva,1a,I4(1)32,25,1,4
lcve,4,I4(1)32,25,1,3
lcvf,1b,I4(1)32,13,1,3
lcx,3b,Pm-3n,19,1,1
lcy,1a,P4(1)32,9,1,1
lcya,1b,P4(1)32,25,1,3
lcye,1a,P4(1)32,25,1,2
lev,1b,R-3m,19,2,5
lfm,1b,Imma,5,2,3
lhb,2b,Fdd2,7,1,3
lib,1a,P4/mmm,13,2,4
lig,1b,I4(1)/amd,5,1,2
lil,1b,Imma,5,2,2
lim,1b,Imma,5,2,2
llj,3,I4/mmm,8,2,2
llk,4,Im-3m,22,2,2
lng,1b,P2(1)3,29,3,4
lni,1b,P6(3)/mmc,13,2,3
lnj,1b,P6(3)/mmc,11,2,2
lon,1b,P6(3)/mmc,5,1,2
lona,1b,P6(3)/mmc,17,2,4
los,1b,P6(3)/mmc,25,2,4
lqm,1b,I4(1)22,9,2,3
lrj,1b,Cccm,13,2,6
lta,1a,Pm-3m,25,1,3
ltae,1b,Pm-3m,97,3,4
ltj,1b,P4(1)2(1)2,17,2,5
ltl,1b,P6/mmm,37,2,6
ltw,4,P-43n,61,2,6
lul,4,I4(1)/amd,13,2,2
lum,1b,I4(1)/amd,13,2,3
lun,1b,I4(1)/amd,13,2,3
luo,4,I4(1)md,13,3,5
lvt,1b,I4(1)/amd,5,1,1
lvta,1b,I4(1)/amd,9,1,3
lwg,1b,I4/mmm,11,3,3
lwh,2,Im-3m,27,3,3
lxx,1b,I-42d,25,3,7
maw,1b,Im-3m,19,2,2
maz,1b,P6(3)/mmc,37,2,6
mcf,2b,Cmmm,5,2,4
mcfd,2b,Cmmm,5,2,3
mcn,2b,P4/mbm,7,2,3
mco,1b,P-62m,7,4,3
mcs,1b,P2(1)3,17,3,3
mdf,4,I4(1)22,5,1,2
med,1b,I4(1)/amd,41,3,7
mef,1b,Pm-3n,147,5,6
mep,1a,Pm-3n,47,3,4
mer,1b,I4/mmm,17,1,4
met,1b,Fd-3m,19,3,2
mfj,1b,Cmcm,13,4,5
mft,1b,P6(3)/mcm,49,2,6
mgca,1b,Fd-3m,37,2,4
mgd,1a,Fd-3m,19,3,2
mgg,1b,I4/mmm,11,2,3
mgz,4,P6(3)/mmc,37,3,3
mgzxd,1b,P6(3)/mmc,69,7,11
mhg,1a,P4/mbm,21,2,5
mjb,1b,P4/mmm,7,2,3
mml,1b,P4/nmm,11,3,3
mmn,2,P4/nmm,15,3,3
mmt,1b,Pccn,9,1,3
moa,1b,Cmmm,5,2,4
moc,1b,Cmmm,4,2,3
mod,1b,Pnma,17,4,5
mof,1b,Fm-3m,17,3,3
mog,1b,Cmmm,4,2,2
mok,4,Cccm,5,1,3
mon,1b,I4(1)/amd,9,1,3
mot,2b,P4/mmm,4,2,2
mota,1a,P4/mmm,7,3,4
mote,1b,P4/mmm,7,2,2
motea,1a,P4/mmm,21,3,7
mou,2b,P4/mmm,6,2,3
mrc,1b,Pnnm,9,2,3
msp,1b,C2/c,5,1,4
msq,1b,P4/mmm,18,3,2
msw,2b,P4(2)/nnm,5,1,2
muo,1b,P6(3)/m,17,3,4
mvy,1b,Pnnm,13,2,5
myc,1b,I2(1)3,15,2,3
myd,1b,I2(1)3,15,2,2
myda,1b,I2(1)3,49,4,9
mzz,1b,P6(3)/m,17,4,4
nab,1b,I-4m2,6,2,3
nat,1b,I4(1)/amd,11,2,3
nba,1a,Pm-3m,10,2,2
nbo,1a,Im-3m,4,1,1
nboa,1a,Im-3m,7,1,2
nboae,1a,Im-3m,19,2,2
nboxd,3b,Im-3m,16,2,2
neb,1b,Fddd,5,1,2
nebe,1b,Fddd,17,2,4
nfb,2b,Pm-3n,49,1,4
nha,4,Im-3m,29,2,2
nht,4,R3m,9,3,4
nia,1b,P6(3)/mmc,9,2,1
niaa,4,P6(3)/mmc,31,2,5
nind,4,P6/mmm,16,2,3
nip,1b,I2/a,7,2,4
niq,1b,C2/c,7,2,5
nir,1b,C2/c,7,2,5
nju,1a,Im-3m,16,3,2
nka,1b,Cmma,9,4,3
nkb,1a,Cmma,9,3,3
nkc,1b,P4(2)/mmc,9,3,3
nkd,4,P4(2)/mmc,9,4,3
nke,1b,P4(2)/mmc,13,4,5
nkf,4,P4(2)/mmc,13,5,5
nko,1b,Pmmm,7,5,5
nkq,1b,Pmmm,7,4,5
nnd,1b,Cmcm,7,2,4
nob,1b,Pmna,7,2,4
noc,1b,P6(4)22,10,2,4
nod,1b,Cccm,5,2,3
noe,1b,C2/m,5,3,5
nof,1b,Cccm,5,2,3
noh,1b,Pa-3,17,2,2
noi,1b,Cmcm,7,2,4
noj,1a,P4(3)22,5,2,3
nol,1b,Pnma,17,2,5
noq,1b,C2/c,7,2,4
nor,1b,C2/m,6,2,4
nos,1b,P2(1)/n,13,6,9
not,1b,P2(1)/c,13,3,7
nou,1b,P4/mbm,9,3,2
noua,1b,P4/mbm,25,4,8
nox,1b,Imma,7,2,3
npo,1b,P6(3)/mmc,7,1,2
npoa,1b,P6(3)/mmc,25,2,5
nta,1b,R-3m,7,2,3
ntb,1b,P4(2)/nmc,13,2,4
ntt,1b,Fm-3m,29,3,2
nva,1b,Cmca,7,2,4
nvb,1b,Cmca,7,2,4
nyn,4,P4/mmm,12,3,2
ocu,1a,Im-3m,18,2,1
off,1b,P-6m2,19,2,6
ofo,4,P6422,7,1,3
ofp,1b,I-42m,6,3,2
oge,1b,Im-3m,37,4,4
omy,1a,F-43m,6,2,2
ood,4,P6/mmm,17,3,2
osa,1b,Cmcm,9,1,4
osc,1b,Pnma,17,1,4
oso,1b,P6(2)22,10,2,2
pbge,1b,Ia-3d,73,2,3
pbp,1b,Im-3m,13,1,2
pbpe,1b,Im-3m,37,2,2
pbpl,1b,Im-3m,37,3,4
pbz,1a,Pn-3m,13,1,2
pbzl,1b,Pn-3m,37,3,4
pbzm,1b,Pn-3m,49,3,5
pcb,1a,Im-3m,9,1,2
pcl,1b,Cmcm,9,1,4
pcn,1b,P4/mmm,57,8,10
pcu,1a,Pm-3m,3,1,1
pcug,1b,Ia-3,13,1,2
pcuge,1b,Ia-3,37,2,3
pcuh,1b,R-3m,4,1,2
pcuhe,1b,R-3m,10,2,2
pcum,1a,Fm-3c,97,1,4
pda,1,Pm-3m,61,2,3
pdp,1b,Pm-3n,35,3,2
pds,1b,P4(2)/m,17,4,4
pek,4,P6/mmm,21,3,2
pfm,2,I4/mmm,9,3,2
phi,1b,Cmcm,17,2,6
phl,1b,P2(1)/n,11,5,8
phw,1b,P6(2)22,7,2,2
phx,4,P6(2)22,7,2,2
pmc,3,I4(1)32,49,1,5
pse,ib,P4(2)/mbc,49,5,6
pspa,1a,P4(2)/mmc,29,4,8
ptd,1b,Pm-3,11,2,2
pte,2b,Cmmm,5,2,3
pth,1b,P6(2)22,7,2,1
ptha,1b,P6(2)22,19,2,6
pti,1b,Imma,9,3,2
pto,1a,Pm-3n,11,2,1
ptod,2b,Pm-3n,11,2,2
ptr,1b,R-3m,13,2,2
pts,1b,P4(2)/mmc,5,2,1
ptsa,1b,P4(2)/mmc,13,2,5
ptsf,1b,P4(2)/mmc,7,2,3
